Title;Year;Directors;Rating10;WatchedDate
Flandersui gae;2000;Bong Joon-Ho;7;16/01/2026
Roofman;2025;Derek Cianfrance;7;28/12/2025
Le Routard;2025;Philippe Mechelen;4;30/12/2025
The Princess Bride;1987;Rob Reiner;7;14/12/2025
L'Art d'être heureux;2024;Stefan Liberski;6;11/12/2025
Jamais sans mon psy;2024;Arnaud Lemort;5;06/12/2025
A House of Dynamite;2025;Kathryn Bigelow;7;12/11/2025
True Grit;2010;Joel Coen Ethan Coen;7;10/10/2025
Michael Jackson's This Is It;2009;Kenny Ortega;6;08/11/2025
The Tree of Life;2011;Terrence Malick;7;08/11/2025
Lat sau san taam;1992;John Woo;7;28/08/2025
Jurassic World: Rebirth;2025;Gareth Edwards;5;23/08/2025
Straume;2024;Gints Zilbalodis;7;10/08/2025
5ème Set;2021;Quentin Reynaud;6;10/08/2025
Fountain of Youth;2025;Guy Ritchie;4;10/08/2025
La Gloire de mon père;1990;Yves Robert;7;25/07/2025
F1: The Movie;2025;Joseph Kosinski;4;22/07/2025
La Vallée des fous;2024;Xavier Beauvois;6;14/07/2025
Chicken Run;2000;Peter Lord Nick Park;7;10/07/2025
Les Barbares;2024;Julie Delpy;5;01/08/2025
Les Pistolets en plastique;2024;Jean-Christophe Meurisse;5;07/08/2025
Novocaine;2025;Dan Berk Robert Olsen;5;20/04/2025
Making of;2024;Cédric Kahn;6;15/05/2025
The Favourite;2018;Yórgos Lánthimos;7;15/05/2025
Companion;2025;Drew Hancock;4;15/05/2025
Jing wu feng yun: Chen Zhen;2010;Andrew Lau;6;26/03/2025
Et plus si affinités;2024;Olivier Ducray Wilfried Méance;6;20/03/2025
Heretic;2024;Scott Beck Bryan Woods;3;15/03/2025
Le Retour du héros;2018;Laurent Tirard;5;15/03/2025
En fanfare;2024;Emmanuel Courcol;7;15/03/2025
Un coup de maître;2023;Rémi Bezançon;6;24/03/2024
Annihilation;2018;Alex Garland;5;09/03/2025
Mickey 17;2025;Bong Joon-Ho;6;07/03/2025
The Gorge;2025;Scott Derrickson;6;01/03/2025
A Real Pain;2024;Jesse Eisenberg;6;01/03/2025
The Unbearable Weight of Massive Talent;2022;Tom Gormican;5;28/02/2025
