id;title;director;language;year;saga;actors;synopsis;file;poster_url;file_path;date_added
8;#Alive;Cho Il;ko;2020;;Yoo Ah-in, Park Shin-hye, Lee Hyun-wook, Jin So-yeon, Kim Hak-seon;La propagation d'un mystérieux virus plonge une ville dans le chaos. Joon-Woo et Yoo-Bin, coupés du monde dans leurs appartements vis-à-vis, luttent pour survivre.;Alive.2020.1080p.NF.WEB-DL.DDP5.1.Atmos.H.264-pawel2006.mkv;https://www.themoviedb.org/t/p/w600_and_h900_face/bDSGEusY1zxVHl9hvgzbkzkzcJT.jpg;/volume1/Media/Films/Alive (1080p Vostfr)/Alive.2020.1080p.NF.WEB-DL.DDP5.1.Atmos.H.264-pawel2006.mkv;2026-01-10 19:15:08
1;#JeSuisLà;Eric Lartigau;fr;2020;;Alain Chabat, Bae Doo-na, Jules Sagot, Ilian Bergala, Camille Rutherford;Stéphane mène une vie paisible au Pays Basque entre ses deux fils, aujourd’hui adultes, son ex-femme et son métier de chef cuisinier. Le petit frisson dont chacun rêve, il le trouve sur les réseaux sociaux où il échange au quotidien avec Soo, une jeune sud-coréenne. Sur un coup de tête, il décide de s’envoler pour la Corée dans l’espoir de la rencontrer. Dès son arrivée à l’aéroport de Séoul, un nouveau monde s’ouvre à lui…;#Jesuislà.2019.FRENCH.1080p.WEB.H264.mkv;https://image.tmdb.org/t/p/w500/yxHDlr90ww0XZt3U26W95JNExf3.jpg;/volume1/Media/Films/#JeSuisLà (1080p)/#Jesuislà.2019.FRENCH.1080p.WEB.H264.mkv;2026-01-10 19:14:59
2;30 Jours Max;Tarek Boudali;fr;2020;30 jours max;Tarek Boudali, Philippe Lacheau, Julien Arruti, Vanessa Guide, José Garcia;Rayane est un jeune flic, trouillard et maladroit, sans cesse moqué par les autres policiers. Le jour où son médecin lui apprend, à tort, qu’il n’a plus que trente jours à vivre, il comprend vite qu'il s'agit de sa dernière chance de devenir un héros, à la fois au sein de son commissariat et surtout pour impressionner sa collègue Stéphanie. L’éternel craintif se transforme alors en véritable tête brûlée, qui prendra tous les risques afin de coincer un gros caïd de la drogue…;30.Jours.Max.2020.FRENCH.1080p.BluRay.DTS.x264-UTT.mkv;https://image.tmdb.org/t/p/w500/okepE7ytt7bWyFdD77Et273sAtt.jpg;/volume1/Media/Films/30 jours max (1080p)/30.Jours.Max.2020.FRENCH.1080p.BluRay.DTS.x264-UTT.mkv;2026-01-10 19:15:00
341;À bord du Darjeeling Limited;Wes Anderson;en;2007;The Darjeeling Limited;Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan, Wallace Wolodarsky;"Trois frères qui ne se sont pas parlé depuis la mort de leur père décident de faire ensemble un grand voyage en train à travers l'Inde afin de renouer les liens d'autrefois. Pourtant, la ""quête spirituelle"" de Francis, Peter et Jack va vite dérailler, et ils se retrouvent seuls, perdus au milieu du désert avec onze valises, une imprimante, une machine à plastifier et beaucoup de comptes à régler avec la vie... Dans ce pays magique dont ils ignorent tout, c'est alors un autre voyage qui commence, riche en imprévus, une odyssée qu'aucun d'eux ne pouvait imaginer, une véritable aventure d'amitié et de fraternité...";The.Darjeeling.Limited.2007.1080p.BluRay.x264-CiNEFiLE.mkv;https://image.tmdb.org/t/p/w500/jg6RMPfBj0RM1GuC9xmskNtF2W6.jpg;/volume1/Media/Films/À bord du Darjeeling Limited (1080p Vostfr)/The.Darjeeling.Limited.2007.1080p.BluRay.x264-CiNEFiLE.mkv;2026-01-10 19:16:39
342;À couteaux tirés;Rian Johnson;en;2019;À Couteaux Tirés;Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon;Célèbre auteur de polars, Harlan Thrombey est retrouvé mort dans sa somptueuse propriété, le soir de ses 85 ans. L’esprit affûté et la mine débonnaire, le détective Benoit Blanc est alors engagé par un commanditaire anonyme afin d’élucider l’affaire. Mais entre la famille d’Harlan qui s'entre-déchire et son personnel qui lui reste dévoué, Blanc plonge dans les méandres d’une enquête mouvementée, mêlant mensonges et fausses pistes, où les rebondissements s'enchaînent à un rythme effréné jusqu'à la toute dernière minute…;Knives.Out.2019.1080p.WEB-DL.DD5.1.x264-CMRG.mkv;https://image.tmdb.org/t/p/w500/qebfcMW8RDjoMTNLNeDFfMlVCGp.jpg;/volume1/Media/Films/À couteaux tirés (1080p Vostfr)/Knives.Out.2019.1080p.WEB-DL.DD5.1.x264-CMRG.mkv;2026-01-10 19:16:39
3;A Real Pain;Jesse Eisenberg;en;2024;;Jesse Eisenberg, Kieran Culkin, Will Sharpe, Jennifer Grey, Kurt Egyiawan;David et Benji Kaplan, deux cousins aux caractères diamétralement opposés, s’entendent au moins sur une chose : ils doivent respecter les derniers vœux de leur grand-mère, qui leur a laissé en héritage assez d’argent pour qu'ils aillent visiter le pays où elle a grandi. Les cousins s'embarquent donc ensemble vers la Pologne. Sur leur parcours, une étape cruciale: le camp de Majdanek, où leur aïeule a été emprisonnée durant l’Holocauste. Pour David, l’intellectuel responsable mais fragile, comme pour Benji, l’homme-enfant charismatique mais instable, le douloureux périple les force à remettre en question leurs liens familiaux, mais aussi leurs visions du monde et d’eux-mêmes.;a.real.pain.2024.1080p.bluray.x264-knives.mkv;https://image.tmdb.org/t/p/w500/kVk92AZm4gJXi5aucIGikDwSRjn.jpg;/volume1/Media/Films/A Real Pain (1080p Vostfr)/a.real.pain.2024.1080p.bluray.x264-knives.mkv;2026-01-10 19:15:00
4;A Scanner Darkly;Richard Linklater;en;2006;;Keanu Reeves, Robert Downey Jr., Woody Harrelson, Winona Ryder, Rory Cochrane;Une banlieue d'Orange County, en Californie, en 2013. L'interminable et vain combat de l'Amérique contre la drogue se confond désormais avec sa guerre contre le terrorisme. Le policier Bob Arctor, spécialiste réticent des missions d'infiltration, est contraint de jouer les taupes auprès de ses amis Jim Barris, Ernie Luckman, Donna Hawthorne et Charles Freck. Lorsqu'il reçoit l'ordre de s'espionner lui-même, Arctor entame une inexorable descente dans l'absurde et la paranoïa, où loyautés et identités deviennent indéchiffrables.;A.Scanner.Darkly.2006.1080p.BluRay.DD5.1.x264-DON.mkv;https://image.tmdb.org/t/p/w500/bUctb9h0Q83xhjKLFaYsoVy2yFp.jpg;/volume1/Media/Films/A Scanner Darkly (1080p Vostfr)/A.Scanner.Darkly.2006.1080p.BluRay.DD5.1.x264-DON.mkv;2026-01-10 19:15:00
102;A Scene at the Sea;Takeshi Kitano;ja;1991;;Claude Maki, Hiroko Oshima, Sabu Kawahara, Toshizo Fujiwara, Susumu Terajima;Un jeune homme sourd-muet, employé à la voirie découvre une planche de surf et se prend à rêver de championnats. Sa petite amie, elle aussi sourde-muette le soutient pendant le dur apprentissage de ce sport et au cours des compétitions auxquelles il participe. Murés dans leur silence leur amour n’en est pas moins profond.;A.Scene.at.the.Sea.1991.1080p.BluRay.x264-USURY.mkv;https://image.tmdb.org/t/p/w500/uSwYQjd48iXVU8KHSSV9V6QYvBd.jpg;/volume1/Media/Films/Kitano/A Scene at the Sea (1080p Vostfr)/A.Scene.at.the.Sea.1991.1080p.BluRay.x264-USURY.mkv;2026-01-10 19:15:33
49;Aberdeen;Edmond Pang;cn;2000;;Louis Koo, Eric Tsang, Miriam Yeung Chin-Wah, Gigi Leung Wing-Kei, Richard Ng Man-Tat;La famille élargie Cheng, qui, à l'instar du port chinois du même nom à Aberdeen, représente aujourd'hui le petit Hong Kong et ses innombrables contradictions entre traditions et modernité, superstitions et matérialisme, famille et individualité.;abd-aberdeen-1080p.mkv;https://www.themoviedb.org/t/p/w600_and_h900_face/7Hy7wnGQLhoxzzrFHyPfUWDE0WP.jpg;/volume1/Media/Films/Edmond Pang/Aberdeen (1080p Vostfr)/abd-aberdeen-1080p.mkv;2026-01-10 19:15:20
5;About Kim Sohee;July Jung;ko;2022;;Kim Si-eun, Bae Doo-na, Jung Hoe-ryn, Kang Hyun-oh, Bahk Woo-young;So-Hee, lycéenne qui travaille en apprentissage dans un centre d'appels,  est impliquée dans une affaire. Le détective Yoo-Jin enquête sur l'affaire.;Next.Sohee.2022.VOSTFR.1080p.WEB-DL.H264-Slay3R.mkv;https://image.tmdb.org/t/p/w500/wNRANx2icUkMr13j0UcWa22Ag1R.jpg;/volume1/Media/Films/About Kim Sohee (1080P Vostfr)/Next.Sohee.2022.VOSTFR.1080p.WEB-DL.H264-Slay3R.mkv;2026-01-10 19:15:00
6;Adieu les cons;Albert Dupontel;fr;2020;;Virginie Efira, Albert Dupontel, Nicolas Marié, Jackie Berroyer, Philippe Uchan;Lorsque Suze Trappet apprend à 43 ans qu'elle est sérieusement malade, elle décide de partir à la recherche de l'enfant qu'elle a été forcée d'abandonner quand elle avait 15 ans. Sa quête administrative va lui faire croiser JB, quinquagénaire en plein burn out, et M. Blin, archiviste aveugle d'un enthousiasme impressionnant.  À eux trois, ils se lancent dans une quête aussi spectaculaire qu'improbable.;Adieu.Les.Cons.2020.FRENCH.1080p.BluRay.DTS.x264-Ulysse.mkv;https://image.tmdb.org/t/p/w500/e6m9bwuwj6zluvkZgzP5gFSnRyB.jpg;/volume1/Media/Films/Adieu les cons (1080p)/Adieu.Les.Cons.2020.FRENCH.1080p.BluRay.DTS.x264-Ulysse.mkv;2026-01-10 19:15:01
7;Aftersun;Charlotte Wells;en;2022;;Paul Mescal, Frankie Corio, Brooklyn Toulson, Celia Rowlson-Hall, Sally Messham;Avec mélancolie, Sophie se remémore les vacances d’été passées avec son père vingt ans auparavant : les moments de joie partagée, leur complicité, parfois leurs désaccords. Elle repense aussi à ce qui planait au-dessus de ces instants si précieux : la sourde et invisible menace d’un bonheur finissant. Elle tente alors de chercher parmi ces souvenirs des réponses à la question qui l’obsède depuis tant d’années : qui était réellement cet homme qu’elle a le sentiment de ne pas connaître ?;aftersun.2022.1080p.bluray.x264-scare.mkv;https://image.tmdb.org/t/p/w500/wAfdj4F0ctkHBR7sQA1aq4wu3f5.jpg;/volume1/Media/Films/Aftersun (1080p Vostfr)/aftersun.2022.1080p.bluray.x264-scare.mkv;2026-01-10 19:15:07
9;Ambulance;Michael Bay;en;2022;;Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González, Garret Dillahunt, Keir O'Donnell;À Los Angeles, Will Sharp est un homme sans histoires de la classe moyenne. Alors qu'il a désespérément besoin de 231'000 $ pour les soins médicaux de sa femme, il contacte Danny son frère criminel pour l'aider. Celui-ci le recrute pour un braquage pouvant rapporter près de 32 millions de dollars: The LA Federal Bank Trust. Mais rien ne se passe comme prévu et les deux frères tirent sur un officier du LAPD. Pour s'enfuir, ils volent une ambulance. À son bord se trouvent Cam Thompson, une ambulancière, et l'officier de police mourant sur lequel ils ont tiré. Pendant la course poursuite infernale qui s’ensuit, Will et Danny vont devoir échapper aux forces de l’ordre surmotivées postées aux quatre coins de la ville, tenter de garder leurs otages en vie et éviter de s’entre-tuer tout en exécutant l’évasion la plus spectaculaire que la ville de Los Angeles n’ait jamais vue.;Ambulance.2022.1080p.BluRay.x264-KNiVES.mkv;https://image.tmdb.org/t/p/w500/4sqR8inmMdce1dUd6RVXQABaDVB.jpg;/volume1/Media/Films/Ambulance (1080p Vostfr)/Ambulance.2022.1080p.BluRay.x264-KNiVES.mkv;2026-01-10 19:15:08
104;Aniki, mon frère;Takeshi Kitano;ja;2000;;Takeshi Kitano, Omar Epps, Claude Maki, Susumu Terajima, Masaya Katō;Aniki Yamamoto, un yakuza de Tokyo, refuse de se soumettre au clan adverse qui a fait tuer son chef. Sa tête étant mise à prix, il quitte le Japon et part rejoindre son demi-frère Ken aux États-Unis.Il arrive alors à Los Angeles, ne parlant pas un seul mot d'anglais, et découvre une société qu'il ne connaît pas. Mais il retrouve rapidement son demi-frère, qui est devenu un petit dealer.Lors d'une altercation entre son demi-frère et le revendeur de celui-ci, Aniki intervient et passe à tabac le revendeur. C'est ainsi que petit à petit, Aniki va former son propre clan en appliquant les méthodes des yakuzas...;Brother.2000.1080p.BluRay.x264-PHOBOS.mkv;https://image.tmdb.org/t/p/w500/2KVZtwU1gWdAKq7dqVUHIml69lj.jpg;/volume1/Media/Films/Kitano/Brother (1080p Vostfr)/Brother.2000.1080p.BluRay.x264-PHOBOS.mkv;2026-01-10 19:15:33
