Title,Year,Directors,Rating10,WatchedDate
"Flandersui gae",2000,Bong Joon-Ho,7,2026-01-16
"Roofman",2025,Derek Cianfrance,7,2025-12-28
"Le Routard",2025,Philippe Mechelen,4,2025-12-30
"The Princess Bride",1987,Rob Reiner,7,2025-12-14
"L'Art d'être heureux",2024,Stefan Liberski,6,2025-12-11
"Jamais sans mon psy",2024,Arnaud Lemort,5,2025-12-06
"A House of Dynamite",2025,Kathryn Bigelow,7,2025-11-12
"True Grit",2010,Joel Coen Ethan Coen,7,2025-10-10
"Michael Jackson's This Is It",2009,Kenny Ortega,6,2025-11-08
"The Tree of Life",2011,Terrence Malick,7,2025-11-08
"Lat sau san taam",1992,John Woo,7,2025-08-28
"Jurassic World: Rebirth",2025,Gareth Edwards,5,2025-08-23
"Straume",2024,Gints Zilbalodis,7,2025-08-10
"5ème Set",2021,Quentin Reynaud,6,2025-08-10
"Fountain of Youth",2025,Guy Ritchie,4,2025-08-10
"La Gloire de mon père",1990,Yves Robert,7,2025-07-25
"F1: The Movie",2025,Joseph Kosinski,4,2025-07-22
"La Vallée des fous",2024,Xavier Beauvois,6,2025-07-14
"Chicken Run",2000,Peter Lord Nick Park,7,2025-07-10
"Les Barbares",2024,Julie Delpy,5,2025-08-01
"Les Pistolets en plastique",2024,Jean-Christophe Meurisse,5,2025-08-07
"Novocaine",2025,Dan Berk Robert Olsen,5,2025-04-20
"Making of",2024,Cédric Kahn,6,2025-05-15
"The Favourite",2018,Yórgos Lánthimos,7,2025-05-15
"Companion",2025,Drew Hancock,4,2025-05-15
"Jing wu feng yun: Chen Zhen",2010,Andrew Lau,6,2025-03-26
"Et plus si affinités",2024,Olivier Ducray Wilfried Méance,6,2025-03-20
"Heretic",2024,Scott Beck Bryan Woods,3,2025-03-15
"Le Retour du héros",2018,Laurent Tirard,5,2025-03-15
"En fanfare",2024,Emmanuel Courcol,7,2025-03-15
"Un coup de maître",2023,Rémi Bezançon,6,2024-03-24
"Annihilation",2018,Alex Garland,5,2025-03-09
"Mickey 17",2025,Bong Joon-Ho,6,2025-03-07
"The Gorge",2025,Scott Derrickson,6,2025-03-01
"A Real Pain",2024,Jesse Eisenberg,6,2025-03-01
"The Unbearable Weight of Massive Talent",2022,Tom Gormican,5,2025-02-28
"À toute allure",2024,Lucas Bernard,6,2025-02-22
"Love Me",2025,Andrew Zuchero Sam Zuchero,6,2025-02-22
"2046",2004,Wong Kar-Wai,8,2025-02-16
"Mulholland Dr.",2001,David Lynch,8,2025-01-30
"Suk san: Sun Suk san geen hap",1983,Tsui Hark,6,2025-01-27
"The Straight Story",1999,David Lynch,NaN,1970-01-01
"Conclave",2024,Edward Berger,8,2025-01-12
"Un ours dans le Jura",2025,Franck Dubosc,6,2025-01-02
"Le Temps des secrets",2022,Christophe Barratier,5,2025-01-01
"L'Étudiante",1988,Claude Pinoteau,6,2024-12-31
"Sonic the Hedgehog 3",2024,Jeff Fowler,5,2024-12-22
"The Fall Guy",2024,David Leitch,6,2024-12-15
"Weekend in Taipei",2024,George Huang,3,2024-12-11
"Le Pacha",1968,Georges Lautner,7,2024-12-10
"Picnic at Hanging Rock",1975,Peter Weir,6,2024-12-08
"The Fugitive",1993,Andrew Davis,6,2024-11-07
"Daman Akeseo Goohasoseo",2020,Hong Won-Chan,6,2024-11-24
"An Unfinished Film",2024,Lou Ye,7,2024-11-24
"Mu Zhong Wu Ren 2",2024,Yáng Bǐng-Jiā,6,2024-11-16
"A Nightmare on Elm Street 3: Dream Warriors",1987,Chuck Russell,4,2024-11-15
"Inside Out 2",2024,Kelsey Mann,5,2024-11-14
"Polytechnique",2009,Denis Villeneuve,7,2024-11-13
"A Nightmare on Elm Street Part 2: Freddy's Revenge",1985,Jack Sholder,6,2024-11-12
"A Nightmare on Elm Street",1984,Wes Craven,6,2024-11-11
"The Final Conflict",1981,Graham Baker,4,2024-11-09
"Damien: Omen II",1978,Don Taylor,5,2024-11-03
"The Omen",2006,John Moore,NaN,1970-01-01
"The First Omen",2024,Arkasha Stevenson,4,2024-11-01
"Don't Move",2024,Brian Netto Adam Schindler,NaN,2024-10-28
"Loups-garous",2024,François Uzan,3,2024-10-23
"Incendies",2010,Denis Villeneuve,8,2024-10-20
"Les Chansons d'amour",2007,Christophe Honoré,NaN,2024-10-20
"Un p'tit truc en plus",2024,Victor-Artus Solaro (Artus),6,2024-10-18
"Le Comte de Monte-Cristo",2024,Alexandre de La Patellière Matthieu Delaporte,7,2024-10-14
"Megalopolis",2024,Francis Ford Coppola,4,2024-10-15
"Speak No Evil",2024,James Watkins,6,2024-10-06
"Teenage Mutant Ninja Turtles: Mutant Mayhem",2023,Jeff Rowe Kyler Spears,6,2024-10-06
"Mrs. Doubtfire",1993,Chris Columbus,6,2024-07-27
"Máng zhàn",2022,Huò Suì-Qiáng (Chris Huo),4,2024-09-29
"Jiu Lóng Chéng Zhài·Wéi Chéng",2024,Soi Cheang,7,2024-09-24
"The Zone of Interest",2024,Jonathan Glazer,7,2024-02-25
"Sous la Seine",2024,Xavier Gens,4,2024-06-05
"Speed",1994,Jan de Bont,7,2024-09-16
"Alien: Romulus",2024,Fede Alvarez,6,2024-09-18
"Dip huet seung hung",1989,John Woo,7,2024-09-10
"The Killer",2024,John Woo,4,2024-09-08
"Trap",2024,M. Night Shyamalan,6,2024-09-03
"Se diu ying hung ji dung sing sai jau",1993,Jeffrey Lau,7,2024-08-20
"Jackpot!",2024,Paul Feig,4,2024-08-16
"Dersu Uzala",1975,Akira Kurosawa,7,2024-08-15
"Twisters",2024,Lee Isaac Chung,4,2024-08-13
"Kinds of Kindness",2024,Yórgos Lánthimos,6,2024-08-12
"Man jiang hong",2023,Zhāng Yì-Móu,4,2024-08-11
"MaXXXine",2024,Ti West,3,2024-08-09
"Mon inconnue",2019,Hugo Gélin,6,2024-07-31
"Cocorico",2024,Julien Hervé,5,2024-07-29
"Heureux gagnants",2024,Maxime Govare Romain Choay,5,2024-07-24
"Immaculate",2024,Michael Mohan,5,2024-07-24
"Hit Man",2024,Richard Linklater,4,2024-06-15
"Barbie",2023,Greta Gerwig,7,2023-08-22
"Coherence",2014,James Ward Byrkit,6,2024-07-23
"Cheung foh",1999,Johnnie To Law Wing-Cheong,8,2024-07-21
"People Are Amazing - Making « The Whale »",2023,Darren Aronofsky,NaN,2024-07-20
"Xia nu chuan qi",1992,Yu Mang-Sang,4,2024-07-17
"Lockout",2012,James Mather Stephen St. Leger,3,2024-07-08
"Shichinin no samurai",1954,Akira Kurosawa,8,2024-07-15
"Un éléphant ça trompe énormément",1976,Yves Robert,6,2024-07-15
"Beverly Hills Cop: Axel F",2024,Mark Molloy,4,2024-07-13
"The Silence",2019,John R. Leonetti,5,2024-07-14
"A Quiet Place: Day One",2024,Michael Sarnoski,5,2024-07-14
"Dredd",2012,Pete Travis,6,2024-07-08
"Mù zhōng Wúrén",2022,Yáng Bǐng-Jiā,6,2024-06-26
"Furiosa: A Mad Max Saga",2024,George Miller,7,2024-06-25
"Mars Express",2023,Jérémie Périn,7,2024-06-19
"Last Sentinel",2023,Tanel Toom,5,2024-06-16
"Pas de vagues",2024,Teddy Lussi-Modeste,6,2024-06-14
"Mondays: Kono taimurupu look joshi ni kidzuka senai to owaranai",2022,Ryo Takebayashi,6,2024-05-30
"A Slice of Lynch",2007,Charles de Lauzirika,7,2024-05-17
"Civil War",2024,Alex Garland,7,2024-05-12
"Dune: Part Two",2024,Denis Villeneuve,7,2024-04-19
"Sigan",2006,Kim Ki-Duk,NaN,2024-04-27
"Dung che sai duk redux",2008,Wong Kar-Wai,NaN,2024-04-26
"Late Night with the Devil",2024,Cameron Cairnes Colin Cairnes,4,2024-04-25
"Gosford Park",2001,Robert Altman,7,2024-04-17
"Doctor Sleep : Director's Cut",2020,Mike Flanagan,7,2024-04-10
"Road House",2024,Doug Liman,4,2024-04-09
"Soudain seuls",2023,Thomas Bidegain,5,2024-04-07
"Coup de chance",2023,Woody Allen,6,2024-04-01
"Terminator: Genisys",2015,Alan Taylor,7,2015-08-15
"Dai yat lui ying aau him",1980,Tsui Hark,6,2024-02-19
"Terminator 3: Rise of the Machines",2003,Jonathan Mostow,4,2024-03-26
"Caprice",2015,Emmanuel Mouret,5,2024-03-24
"Kimi",2022,Steven Soderbergh,5,2024-03-24
"Hidden Figures",2017,Theodore Melfi,5,2024-03-24
"La Place d'une autre",2022,Aurélia Georges,5,2024-03-18
"Le Bonheur des uns...",2020,Daniel Cohen,7,2024-03-18
"Second Tour",2023,Albert Dupontel,4,2024-03-18
"Le Règne animal",2023,Thomas Cailley,7,2024-03-18
"Midnight Special",2016,Jeff Nichols,7,2024-03-18
"No Hard Feelings",2023,Gene Stupnitsky,6,2024-03-17
"Syk pike",2023,Kristoffer Borgli,6,2024-03-17
"Poor Things",2024,Yórgos Lánthimos,7,2024-03-12
"Dream Scenario",2023,Kristoffer Borgli,7,2024-02-29
"Anyone But You",2023,Will Gluck,6,2024-02-29
"American Fiction",2023,Cord Jefferson,6,2024-02-28
"Une année difficile",2023,Olivier Nakache Eric Toledano,5,2024-02-17
"Feng shen Di yi bu: Zhao Ge feng yun",2023,Wū Ěr-Shàn (Wuershan),7,2024-02-11
"Godzilla Minus One",2023,Takashi Yamazaki,5,2024-01-31
"Chung Hing sam lam",1994,Wong Kar-Wai,8,2024-01-28
"Contagion",2011,Steven Soderbergh,7,2016-01-18
"Chun gwong cha sit",1997,Wong Kar-Wai,7,2024-01-25
"Acide",2023,Just Philippot,5,2024-01-19
"Do lok tin si",1995,Wong Kar-Wai,7,2024-01-17
"The African Queen",1951,John Huston,7,2024-01-06
"Wahou !",2023,Bruno Podalydès,5,2024-01-05
"La sociedad de la nieve",2023,J. A. Bayona,7,2024-01-04
"La Très Très Grande Classe",2022,Frédéric Quiring,4,2024-01-02
"Les Trois Mousquetaires - Milady",2023,Martin Bourboulon,5,2023-12-30
"What Men Want",2019,Adam Shankman,3,2023-12-29
"Perfect Days",2023,Wim Wenders,8,2023-12-18
"Leave the World Behind",2023,Sam Esmail,6,2023-12-11
"Zoey's Extraordinary Christmas",2021,Richard Shepard,7,2023-12-03
"Christmas in the Heartland",2018,Harvey Lowry,4,2023-12-03
"Denchû kozô no bôken",NaN,Shinya Tsukamoto,NaN,2023-12-01
"Yannick",2023,Quentin Dupieux (Mr. Oizo),8,2023-12-01
"Hak bak do",2006,Herman Yau,8,2023-11-27
"Kimitachi wa dô ikiru ka",2023,Hayao Miyazaki,NaN,2023-11-25
"Geomijib",2023,Kim Jee-Woon,6,2023-11-22
"Jericho Ridge",2023,Will Gilbey,6,2023-11-21
"Jeune & Jolie",2013,François Ozon,6,2023-11-20
"Sun lau Ngac lau",2000,Tsui Hark,6,2023-11-19
"The Killer",2023,David Fincher,7,2023-11-15
"Heung gong jai",2014,Pang Ho-Cheung,7,2023-11-06
"Bonne conduite",2023,Jonathan Barré,6,2023-10-31
"Beastie Boys Story",2020,Spike Jonze,7,2023-10-25
"The Creator",2023,Gareth Edwards,5,2023-10-24
"Le Livre des solutions",2023,Michel Gondry,7,2023-10-17
"Groundhog Day",1993,Harold Ramis,NaN,2023-10-10
"Mamma Mia! Here We Go Again",2018,Ol Parker,4,2023-10-14
"Scream VI",2023,Matt Bettinelli-Olpin Tyler Gillett,4,2023-10-09
"Mascarade",2022,Nicolas Bedos,7,2023-10-09
"Renfield",2023,Chris McKay,5,2023-10-09
"Crawl",2019,Alexandre Aja,5,2023-10-14
"Elemental",2023,Peter Sohn,7,2023-10-15
"65",2023,Scott Beck Bryan Woods,4,2023-10-15
"Dou hap",1990,Wong Jing,5,2023-10-07
"Les Chatouilles",2018,Andréa Bescond Eric Métayer,6,2023-10-01
"Un métier sérieux",2023,Thomas Lilti,6,2023-09-30
"Past Lives",2023,Celine Song,7,2023-09-18
"Un plan parfait",2012,Pascal Chaumeil,6,2023-09-17
"La Nuée",2021,Just Philippot,6,2023-09-16
"Sentinelle",2023,Hugo Benamozig David Caviglioli,5,2023-09-16
