title,year,film_url,user_rating,annotation
Le Flic de Beverly Hills 3,1994,https://www.senscritique.com/film/le_flic_de_beverly_hills_3/398378,5/10,
Initial D,2005,https://www.senscritique.com/film/initial_d/458973,6/10,
Cannibal Holocaust,1980,https://www.senscritique.com/film/cannibal_holocaust/449078,6/10,Revu la version 4K sortie chez 88 Films. La version est tellement propre que longtemps j'ai cru voir un autre film.
Ennemi d'État,1998,https://www.senscritique.com/film/ennemi_d_etat/419410,6/10,
Rocky III - L'Œil du tigre,1982,https://www.senscritique.com/film/rocky_iii_l_oeil_du_tigre/458943,6/10,
Rocky V,1990,https://www.senscritique.com/film/rocky_v/398690,6/10,
Rocky Balboa,2006,https://www.senscritique.com/film/rocky_balboa/446892,6/10,
Rambo,1982,https://www.senscritique.com/film/rambo/377515,7/10,
Rambo II - La Mission,1985,https://www.senscritique.com/film/rambo_ii_la_mission/394643,6/10,"Longtemps (comprendre : enfant) ça a été mon ""Rambo"" préféré. Plus prenant, plus violent, plus viscéral... J'avais dû oublier sa fin à l'action complètement débridée, qui annonçait déjà ""Rambo III""."
"Lust, Caution",2007,https://www.senscritique.com/film/lust_caution/390278,7/10,
Rambo III,1988,https://www.senscritique.com/film/rambo_iii/388080,6/10,
Swordsmen,2011,https://www.senscritique.com/film/swordsmen/467375,6/10,
Ce que veulent les femmes,2000,https://www.senscritique.com/film/ce_que_veulent_les_femmes/417699,6/10,
Five,2016,https://www.senscritique.com/film/five/17819812,6/10,Revu le 04/06/2023.
Pandorum,2009,https://www.senscritique.com/film/pandorum/452176,6/10,
Mon crime,2022,https://www.senscritique.com/film/mon_crime/47735813,7/10,Revu le 05/08/2023.
Yesterday,2019,https://www.senscritique.com/film/yesterday/32400063,7/10,Se bonifie à chaque visionnage. Une bleuette portée par le génie des Beatles.
Le Chant du loup,2019,https://www.senscritique.com/film/le_chant_du_loup/24182360,7/10,Revu le 06/09/2023.
Un plan parfait,2012,https://www.senscritique.com/film/un_plan_parfait/432372,6/10,
Un jour sans fin,1993,https://www.senscritique.com/film/un_jour_sans_fin/492474,,
"Crazy, Stupid, Love",2011,https://www.senscritique.com/film/crazy_stupid_love/493387,8/10,Revu le 14/10/2023.
Time and Tide,2000,https://www.senscritique.com/film/time_and_tide/407152,6/10,
Love Actually,2003,https://www.senscritique.com/film/love_actually/370362,8/10,Revu le 05/12/2023.
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
