title,year,film_url,user_rating,annotation
Inferno,2016,https://www.senscritique.com/film/inferno/9489337,4/10,
Joy,2015,https://www.senscritique.com/film/joy/11508184,7/10,
Rogue One - A Star Wars Story,2016,https://www.senscritique.com/film/rogue_one_a_star_wars_story/11361642,6/10,
Jane Got a Gun,2015,https://www.senscritique.com/film/jane_got_a_gun/361099,6/10,
La Grande Muraille,2016,https://www.senscritique.com/film/la_grande_muraille/12932675,5/10,
The Chaser,2008,https://www.senscritique.com/film/the_chaser/384697,8/10,
The Murderer,2010,https://www.senscritique.com/film/the_murderer/442502,6/10,
Les Sept Mercenaires,2016,https://www.senscritique.com/film/les_sept_mercenaires/10561755,5/10,
Mademoiselle,2016,https://www.senscritique.com/film/mademoiselle/12070512,7/10,
La La Land,2016,https://www.senscritique.com/film/la_la_land/11913569,8/10,
Les Tuche 2 : Le Rêve américain,2016,https://www.senscritique.com/film/les_tuche_2_le_reve_americain/13231842,3/10,
Passengers,2016,https://www.senscritique.com/film/passengers/10645406,6/10,
Arrêtez-moi là,2016,https://www.senscritique.com/film/arretez_moi_la/12719024,6/10,
Five,2016,https://www.senscritique.com/film/five/17819812,6/10,
2 Guns,2013,https://www.senscritique.com/film/2_guns/8460851,6/10,
Manipulations,2016,https://www.senscritique.com/film/manipulations/18760607,5/10,
Alliés,2016,https://www.senscritique.com/film/allies/16009662,6/10,
Doctor Strange,2016,https://www.senscritique.com/film/doctor_strange/392811,6/10,
Marseille,2016,https://www.senscritique.com/film/marseille/18373348,5/10,
Les Kaïra,2012,https://www.senscritique.com/film/les_kaira/440877,4/10,
Moonlight,2016,https://www.senscritique.com/film/moonlight/21806433,7/10,
La Folle Histoire de Max & Léon,2016,https://www.senscritique.com/film/la_folle_histoire_de_max_leon/17689002,6/10,
Triple 9,2016,https://www.senscritique.com/film/triple_9/8193087,7/10,
Joséphine s'arrondit,2016,https://www.senscritique.com/film/josephine_s_arrondit/13016368,5/10,
Logan,2017,https://www.senscritique.com/film/logan/11082226,7/10,
X-Men : Apocalypse,2016,https://www.senscritique.com/film/x_men_apocalypse/10628741,4/10,"Un très faible X-Men :-( Un méchant un peu falot, Magnéto toujours le cul entre deux chaises (toujours!) et un manque de rythme criant."
Captain America: Civil War,2016,https://www.senscritique.com/film/captain_america_civil_war/11040752,5/10,
I.T.,2016,https://www.senscritique.com/film/i_t/17512045,5/10,
Very Bad Dads,2015,https://www.senscritique.com/film/very_bad_dads/13012142,6/10,
Le Pont de la rivière Kwaï,1957,https://www.senscritique.com/film/le_pont_de_la_riviere_kwai/449950,7/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
